Beigang Township Office,Irrigation Association,The Presbyterian Church,Beigang Cathy Life Insurance,Sucuoliao,Lunyang Road Intersection,An He Road Intersection,Shuixian Temple,Bantou Road Intersection,Police Station,Old Nangang,Nantan,Laotushi,Dingcaiyuan,Houzhuangzi Road Intersection,Xingang JHS.,Hsingang ES.,Xingangxiangke Building,Singang Township Office,Jianchang Community,Caigong Village,Southern Pacific Textile Company,Xinxing Community,Yuemeitan,Yuemei Primary School,Irrigation Association,Jiatai Industry Zone,Huaji Hospital,Guogou Community,Guogou,Matai Road,Mayuliao,Dongmayuliao,Jiaxin JHS.,Nanxin,Niujiangjun Temple,Jhutscun,Xianluzhongxin,Xiabi Village,Zhuzigong Temple,Dasicuo,Dajia Driving Class,Jiangmuliao,Sensong Company,Chiayi Hospital,City Council,Fulong Temple,Chiayi,Changhwa Bank,Central Fountain Stop,CITY HALL,Admin. Enforcement Agency,Chiayi Park,Chiachung,Daya Stop,,,,,,,,,,,,,,,
-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
100017,北港派出所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉工,文化路口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chia-yi Industrial Voc. High,Wenhua Road Intersection Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7226,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朴子,北港,經雙溪口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puzi,Beigang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義客運 05-2750895,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0630,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港派出所,蘇厝寮,西安站,六斗尾,頂寮,港尾寮,三姓寮1,三姓寮,大塗獅,六嘉國中,蒜頭,蒜頭1,故宮南院北站,小?榔,雙溪口,德興里,天星新村,東石高中,東石國中,朴子農會,朴子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
